Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-06-02T11:15:59,2021-06-02T11:23:15,55,Puistokaari,51,Itälahdenkatu,1533.0,432
2021-06-02T11:15:56,2021-06-02T11:38:58,57,Lauttasaaren ostoskeskus,65,Hernesaarenranta,4043.0,1378
2021-06-02T11:15:52,2021-06-02T11:23:02,36,Apollonkatu,24,Mannerheimintie,1282.0,425
2021-06-02T11:15:50,2021-06-02T11:38:20,57,Lauttasaaren ostoskeskus,65,Hernesaarenranta,4018.0,1346
2021-06-02T11:15:50,2021-06-02T11:31:21,19,Rautatientori / itä,59,Salmisaarenranta,2903.0,926
2021-06-02T11:15:46,2021-06-02T11:39:45,902,Derby Business Park,91,Seurasaari,5564.0,1437
2021-06-02T11:15:40,2021-06-02T11:20:39,61,Länsisatamankatu,30,Itämerentori,913.0,301
2021-06-02T11:15:40,2021-06-02T11:20:30,519,Tapionaukio,527,Otsolahti,830.0,288
2021-06-02T11:15:38,2021-06-02T11:32:44,129,Pernajantie,35,Cygnaeuksenkatu,3124.0,1026
2021-06-02T11:15:37,2021-06-02T11:26:36,58,Lauttasaarensilta,55,Puistokaari,2070.0,654
2021-06-02T11:15:33,2021-06-02T11:20:40,161,Eteläesplanadi,25,Narinkka,939.0,302
2021-06-02T11:15:25,2021-06-02T11:38:03,6,Hietalahdentori,2,Laivasillankatu,2217.0,1353
2021-06-02T11:14:50,2021-06-02T11:29:43,30,Itämerentori,83,Meilahden sairaala,3630.0,890
2021-06-02T11:14:45,2021-06-02T11:37:34,3,Kapteeninpuistikko,129,Pernajantie,5484.0,1364
2021-06-02T11:14:42,2021-06-02T11:36:53,137,Arabian kauppakeskus,20,Kaisaniemenpuisto,4698.0,1326
2021-06-02T11:14:41,2021-06-02T11:30:54,513,Hakalehto,557,Louhentori,2158.0,969
2021-06-02T11:14:39,2021-06-02T11:15:27,57,Lauttasaaren ostoskeskus,57,Lauttasaaren ostoskeskus,16.0,44
2021-06-02T11:14:10,2021-06-02T11:30:38,83,Meilahden sairaala,24,Mannerheimintie,3007.0,983
2021-06-02T11:14:05,2021-06-02T11:37:08,16,Liisanpuistikko,37,Töölönkatu,3103.0,1378
2021-06-02T11:13:58,2021-06-02T11:36:07,55,Puistokaari,143,Kuikkarinne,445.0,141
2021-06-02T11:13:58,2021-06-02T11:19:31,8,Vanha kirkkopuisto,5,Sepänkatu,1194.0,329
2021-06-02T11:13:38,2021-06-02T11:25:39,134,Haukilahdenkatu,126,Kalasatama (M),1451.0,715
2021-06-02T11:13:37,2021-06-02T11:19:24,62,Välimerenkatu,69,Kalevankatu,1175.0,346
2021-06-02T11:13:29,2021-06-02T11:21:30,26,Kamppi (M),18,Porthania,1396.0,480
2021-06-02T11:13:24,2021-06-02T11:17:31,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,829.0,242
2021-06-02T11:13:24,2021-06-02T11:40:01,240,Viikin normaalikoulu,137,Arabian kauppakeskus,6253.0,1598
2021-06-02T11:13:12,2021-06-02T11:14:06,14,Senaatintori,14,Senaatintori,4.0,53
2021-06-02T11:13:12,2021-06-02T11:25:57,109,Hertanmäenkatu,150,Töölönlahden puisto,3598.0,760
2021-06-02T11:13:05,2021-06-02T11:27:21,30,Itämerentori,52,Heikkilänaukio,2478.0,852
2021-06-02T11:13:02,2021-06-02T11:30:27,83,Meilahden sairaala,24,Mannerheimintie,3048.0,1040
2021-06-02T11:13:00,2021-06-02T11:31:58,64,Tyynenmerenkatu,48,Mastokatu,3453.0,1133
2021-06-02T11:12:55,2021-06-02T11:23:01,30,Itämerentori,71,Hietaniemenkatu,1688.0,603
2021-06-02T11:12:51,2021-06-02T11:39:26,315,Vuosaaren liikuntapuisto,307,Ulappasilta,5491.0,1593
2021-06-02T11:12:47,2021-06-02T11:21:23,24,Mannerheimintie,5,Sepänkatu,1572.0,511
2021-06-02T11:12:41,2021-06-02T11:38:05,138,Arabiankatu,11,Unioninkatu,5603.0,1519
2021-06-02T11:12:37,2021-06-02T11:18:09,30,Itämerentori,69,Kalevankatu,1053.0,327
2021-06-02T11:12:36,2021-06-02T11:26:31,81,Stenbäckinkatu,115,Venttiilikuja,1794.0,831
2021-06-02T11:12:29,2021-06-02T11:21:52,126,Kalasatama (M),137,Arabian kauppakeskus,2152.0,565
2021-06-02T11:12:21,2021-06-02T11:25:53,363,Väärämäentie,360,Malmin asema,1954.0,805
2021-06-02T11:12:00,2021-06-02T11:15:36,79,Uimastadion,77,Nordenskiöldinaukio,1139.0,212
2021-06-02T11:11:57,2021-06-02T11:39:14,150,Töölönlahden puisto,127,Teurastamo,3728.0,1633
2021-06-02T11:11:54,2021-06-02T11:42:42,264,Eränkävijäntori,141,Intiankatu,6857.0,1844
2021-06-02T11:11:47,2021-06-02T11:25:13,617,Tiistinkallio,601,Nokkala,3042.0,801
2021-06-02T11:11:47,2021-06-02T11:36:05,237,Aulangontie,275,Itäkeskus (M),5564.0,1453
2021-06-02T11:11:46,2021-06-02T11:17:02,33,Kauppakorkeakoulu,71,Hietaniemenkatu,1006.0,312
2021-06-02T11:11:46,2021-06-02T11:26:02,75,Korjaamo,121,Vilhonvuorenkatu,2877.0,851
2021-06-02T11:11:44,2021-06-02T11:16:13,517,Länsituuli,523,Ahertajantie,512.0,263
2021-06-02T11:11:43,2021-06-02T11:20:37,42,Haapaniemenkatu,124,Isoisänsilta,1723.0,530
2021-06-02T11:11:41,2021-06-02T11:14:09,575,Tontunmäentie,573,Urheilupuisto (M),610.0,145
2021-06-02T11:11:40,2021-06-02T11:17:13,96,Huopalahdentie,93,Torpanranta,1257.0,330
2021-06-02T11:11:24,2021-06-02T11:16:00,95,Munkkiniemen aukio,89,Tilkanvierto,1014.0,271
2021-06-02T11:11:23,2021-06-02T11:14:56,34,Kansallismuseo,24,Mannerheimintie,647.0,209
2021-06-02T11:11:22,2021-06-02T11:33:01,6,Hietalahdentori,143,Kuikkarinne,3928.0,1298
2021-06-02T11:11:18,2021-06-02T11:11:58,126,Kalasatama (M),126,Kalasatama (M),1.0,39
2021-06-02T11:11:08,2021-06-02T11:17:52,26,Kamppi (M),19,Rautatientori / itä,814.0,400
2021-06-02T11:11:08,2021-06-02T11:24:45,617,Tiistinkallio,601,Nokkala,2989.0,812
2021-06-02T11:11:08,2021-06-02T11:20:36,105,Tilkantori,208,Valimotie,0.0,559
2021-06-02T11:11:06,2021-06-02T11:32:47,291,Itäkeskus Metrovarikko,330,Kontula (M),4149.0,1299
2021-06-02T11:11:02,2021-06-02T11:17:50,26,Kamppi (M),19,Rautatientori / itä,788.0,404
2021-06-02T11:10:54,2021-06-02T11:26:30,126,Kalasatama (M),19,Rautatientori / itä,3248.0,931
2021-06-02T11:10:53,2021-06-02T11:22:44,403,Verkkosaari,40,Hakaniemi (M),2238.0,705
2021-06-02T11:10:37,2021-06-02T11:35:38,224,Vesakkotie,130,Teollisuuskatu,5811.0,1496
2021-06-02T11:10:36,2021-06-02T11:34:34,19,Rautatientori / itä,149,Toinen linja,2166.0,1434
2021-06-02T11:10:35,2021-06-02T11:45:44,28,Lastenlehto,117,Brahen puistikko,4081.0,2105
2021-06-02T11:10:33,2021-06-02T11:15:33,6,Hietalahdentori,29,Baana,592.0,296
2021-06-02T11:10:32,2021-06-02T11:15:30,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,688.0,293
2021-06-02T11:10:30,2021-06-02T11:17:19,509,Revontulentie,559,Pohjankulma,1560.0,405
2021-06-02T11:10:29,2021-06-02T11:18:51,81,Stenbäckinkatu,38,Töölöntori,1270.0,496
2021-06-02T11:10:29,2021-06-02T11:20:43,23,Kiasma,6,Hietalahdentori,1600.0,611
2021-06-02T11:10:24,2021-06-02T11:39:48,99,Muusantori,101,Munkkivuoren ostoskeskus,1917.0,1759
2021-06-02T11:10:23,2021-06-02T11:22:22,41,Ympyrätalo,12,Kanavaranta,2070.0,716
2021-06-02T11:10:22,2021-06-02T11:38:56,208,Valimotie,78,Messeniuksenkatu,5823.0,1710
2021-06-02T11:10:19,2021-06-02T11:18:39,48,Mastokatu,9,Erottajan aukio,1406.0,496
